9.999991897945409436e-01,3.067059534017193597e-08,5.414126245643985583e-08,5.049883273720510564e-09,2.575155385964899656e-14,1.361649428392269944e-12,1.631467219120693645e-11,1.085291251805132415e-08,7.094413843046306578e-07,3.171896903009346473e-11
5.504567559303073197e-13,1.424943942548311638e-13,3.033328066493535235e-11,1.069895277931114273e-08,9.999985208760584499e-01,4.385832312217910986e-07,1.727993431829573096e-10,1.726153488943637952e-09,4.062906566487451461e-07,6.216211219430327700e-07
1.974065977405774424e-12,1.231928440521162336e-10,8.545218739234658879e-06,5.166780587326551185e-09,9.819318836385600158e-04,9.986730633871915286e-01,1.638870243309006981e-09,4.771092506582093562e-09,3.361225053055615043e-04,3.253032150509506700e-07
1.845110107912905673e-15,4.638365848429038992e-08,2.945949903839830425e-09,4.006348285757275862e-12,7.269099375550341111e-13,9.999999505966805646e-01,1.311916060400510663e-14,1.141534730553360230e-12,6.781202118763476132e-11,9.240335824134331404e-15
8.946558227421933082e-05,6.424411327795584976e-06,2.901909806564767040e-09,6.244669055769175147e-06,4.971256206976464059e-05,2.196529875069200909e-11,7.441772266055540763e-02,4.044006098000194060e-03,6.274455336538312195e-09,9.213864148183864566e-01
3.062957061153627774e-06,9.999932674731687454e-01,3.555943406840431415e-06,8.692526546540708452e-09,2.203219763375881357e-11,2.926243836898673074e-08,1.207032570773656185e-08,5.927971005930389905e-08,3.894960743445629473e-09,4.043692741008254095e-10
9.847860076909872515e-04,9.989763093610133371e-01,7.210134125273461859e-06,2.207105500629685620e-06,6.135663884670924158e-11,2.584828277963799604e-07,4.388843571682005512e-06,1.739141872979140503e-06,2.309533267958306470e-05,5.529361075917582306e-09
3.130156349531984796e-08,1.766094233932943208e-08,8.055534443986815301e-07,1.434350475983929359e-06,9.993918164831163686e-01,7.206782668697416514e-05,4.990574754708244042e-04,4.103753191094601747e-07,2.731676842138706402e-06,3.162729613822313617e-05
7.268035820669357664e-08,9.999999272788102633e-01,8.749038417056231115e-12,2.916046914295157740e-12,5.867036417510220065e-19,2.751249125658133567e-11,6.949903889532765381e-13,5.302805961052922634e-13,4.284381597610856298e-13,2.395095559554058132e-16
1.592638108342715984e-09,8.139223292130085324e-11,1.576647191331067633e-08,9.999965232855284603e-01,1.686552553781296405e-12,5.061886498618493944e-11,1.047746397479475018e-10,3.458196244136453743e-06,5.961115595031999925e-12,9.146838387909266764e-10
1.551375300512349444e-12,3.432542688659245029e-13,9.923900736901218929e-19,3.218657779124757801e-12,1.585004831101213233e-13,7.506571994120698216e-14,9.999999922014451981e-01,6.092085109930124469e-09,8.180245962189292034e-15,1.701114687779495206e-09
4.250209637044499744e-04,9.995748336868780504e-01,5.089017423938447145e-08,2.163980836920240395e-10,4.626421768586295410e-15,1.546178535976423866e-10,1.517277367621120071e-08,7.826322332836323321e-08,6.478934613638062077e-10,4.332201494281132260e-12
5.074144044285205885e-07,1.628300539966236540e-02,1.849364643331848085e-08,7.424801501918164906e-08,5.673037927180383415e-09,2.050678176010901633e-05,4.483487552926403417e-06,6.497819433716294551e-09,9.836913336337858027e-01,5.837031546681667585e-08
